year,month,Renmin_EPU,EPU
2018,9,314.1,516.4866333
2018,10,343.4,621.4263916
2018,11,438.2,677.5375977
2018,12,248.5,935.3103027
2019,1,288.1,654.9626465
2019,2,240,720.1578979
2019,3,411.2,753.1077271
2019,4,319.4,502.5500488
2019,5,365.1,759.0687256
2019,6,649.1,959.8522949
2019,7,375.9,721.6467285
2019,8,396,904.9383545
2019,9,,933.8838501
2019,10,,970.829895
2019,11,,757.1947632
2019,12,,907.446167
